time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
7/24/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
7/25/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
7/26/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
7/27/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
7/28/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
7/29/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
7/30/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
7/31/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
8/1/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
8/2/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
8/3/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
8/4/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
8/5/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
8/6/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
8/7/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
8/8/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
8/9/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
8/10/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
8/11/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
8/12/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
8/13/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
8/14/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
8/15/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
8/16/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
8/17/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
8/18/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
8/19/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
8/20/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
8/21/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
8/22/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
8/23/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
8/24/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
8/25/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
8/26/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
8/27/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
8/28/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
8/29/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
8/30/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
8/31/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
9/1/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
9/2/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
9/3/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
9/4/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
9/5/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
9/6/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
9/7/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
9/8/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
9/9/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
9/10/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
9/11/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
9/12/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
9/13/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
9/14/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
9/15/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
9/16/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
9/17/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
9/18/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
9/19/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
9/20/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
9/21/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
9/22/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
9/23/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
9/24/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
9/25/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
9/26/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
9/27/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
9/28/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
9/29/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
9/30/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
10/1/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
10/2/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
10/3/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
10/4/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
10/5/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
10/6/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
10/7/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
10/8/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
10/9/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
10/10/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
10/11/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
10/12/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
10/13/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
10/14/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
10/15/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
10/16/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
10/17/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
10/18/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
10/19/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
10/20/1993,67945.14,67945.14,67945.14,0,0,67945.14,direct,
